,Country,Disease,Year,Population,Population Over 40,Prevalence %,% Undiagnosed Over 40,Economic Burden ($),Population over 40 extrapolated_2024,Population over 40 extrapolated_2014,Continent,Economic Burden over 40 ($) - 2024,Economic Burden over 40 ($) - 2014
8,Australia,Hypertension,2024,26974026.0,6800000.0,0.252,47.0,1600000000.0,6800000.0,6095332.0,Oceania,403350986.6120838,361552672.9306185
9,Australia,Diabetes,2024,26974026.0,1100000.0,0.040999999999999995,2.0,1600000000.0,1100000.0,986010.0,Oceania,65247953.71666061,58486486.22196776
10,Australia,Heart Problem,2024,26974026.0,2600000.0,0.096,5.0,1600000000.0,2600000.0,2330568.0,Oceania,154222436.05756146,138240720.90684572
11,Australia,Stroke,2024,26974026.0,1100000.0,0.040999999999999995,0.0,414000000.0,1100000.0,986010.0,Oceania,16882908.024185933,15133378.309934156
12,Australia,Dermentia,2024,26974026.0,500000.0,0.019,1.3,40100000000.0,500000.0,448186.0,Oceania,743307654.5562757,666280168.929918
13,Australia,Pregnancy,2024,26974026.0,18000.0,0.001,0.0,40100000000.0,18000.0,16135.0,Oceania,26759075.564025927,23986538.01253102
14,Australia,Stunting,2024,26974026.0,37400.0,0.001,0.0,40100000000.0,37400.0,33524.0,Oceania,55599412.560809426,49837291.62268917
15,Australia,Menopouse,2024,26974026.0,2970000.0,0.11,0.0,414000000.0,2970000.0,2662226.0,Oceania,45583851.66530202,40860106.088724025
16,US,Hypertension,2024,347275807.0,146000000.0,0.42,40.0,198300000000.0,146000000.0,137522275.0,North America,83368318254.31479,78527402666.14656
17,US,Diabetes,2024,347275807.0,50000000.0,0.14400000000000002,7.0,143900000000.0,50000000.0,47096670.0,North America,20718402649.91451,19515355450.60298
18,US,Heart Problem,2024,347275807.0,30000000.0,0.086,5.9,388500000000.0,30000000.0,28258002.0,North America,33561220692.808006,31612434715.327003
19,US,Stroke,2024,347275807.0,7920000.0,0.023,0.0,185900000000.0,7920000.0,7460112.0,North America,4239650359.519573,3993467995.310137
20,US,Dermentia,2024,347275807.0,2900000.0,0.008,4.0,185900000000.0,2900000.0,2731607.0,North America,1552397227.601864,1462254873.6889122
21,US,Pregnancy,2024,347275807.0,216000.0,0.001,0.0,55600000000.0,216000.0,203458.0,North America,34582311.11388649,32574295.62319036
22,US,Stunting,2024,347275807.0,3700000.0,0.011000000000000001,0.0,185900000000.0,3700000.0,3485154.0,North America,1980644738.6644473,1865635657.7122576
23,US,Menopouse,2024,347275807.0,13000000.0,0.037000000000000005,0.0,185900000000.0,13000000.0,12245134.0,North America,6959022054.766976,6554935197.659766
24,India,Hypertension,2024,1463865525.0,120000000.0,0.08199999999999999,40.0,4500000000.0,120000000.0,109715903.0,Asia,368886342.8900001,337272485.1211999
25,India,Diabetes,2024,1463865525.0,33000000.0,0.023,0.0,4500000000.0,33000000.0,30171873.0,Asia,101443744.29475002,92749932.40926279
26,India,Heart Problem,2024,1463865525.0,33600000.0,0.023,0.0,6000000000.0,33600000.0,30720453.0,Asia,137717568.0122667,125915061.76771258
27,India,Stroke,2024,1463865525.0,5100000.0,0.003,0.0,5000000000.0,5100000.0,4662926.0,Asia,17419632.85869445,15926756.66024719
28,India,Dermentia,2024,1463865525.0,7400000.0,0.005,0.0,1500000000.0,7400000.0,6765814.0,Asia,7582663.714961113,6932823.286483232
29,India,Pregnancy,2024,1463865525.0,24032.0,0.0,0.0,7000000000.0,24032.0,21972.0,Asia,114917.65953023588,105067.02792935848
30,India,Stunting,2024,1463865525.0,26800000.0,0.018000000000000002,0.0,1000000000.0,26800000.0,24503218.0,Asia,18307692.573059265,16738708.290845226
31,India,Menopouse,2024,1463865525.0,17500000.0,0.012,0.0,500000000.0,17500000.0,16000236.0,Asia,5977325.000532409,5465063.466126781
32,Thailand,Hypertension,2024,71619863.0,7700000.0,0.10800000000000001,47.0,1000000000.0,7700000.0,7623422.0,Asia,107512073.85023901,106442845.33188789
33,Thailand,Diabetes,2024,71619863.0,2900000.0,0.04,1.5,1000000000.0,2900000.0,2871159.0,Asia,40491560.281258844,40088864.73295823
34,Thailand,Heart Problem,2024,71619863.0,86000000.0,1.3962790697674418e-06,0.0,1500000000.0,86000000.0,85144711.0,Asia,1801176302.1663418,1783263205.9069984
35,Thailand,Stroke,2024,71619863.0,564000.0,0.008,0.0,1200000000.0,564000.0,558391.0,Asia,9449892.413226202,9355912.8980741
36,Thailand,Dermentia,2024,71619863.0,705000.0,0.01,1.5,500000000.0,705000.0,697989.0,Asia,4921818.965221981,4872873.046406135
37,Thailand,Pregnancy,2024,71619863.0,10200.0,0.0,0.0,2000000000.0,10200.0,10099.0,Asia,284837.18266816565,282016.73605547106
38,Thailand,Stunting,2024,71619863.0,469000.0,0.006999999999999999,0.0,300000000.0,469000.0,464336.0,Asia,1964538.8039907308,1945002.324285373
39,Thailand,Menopouse,2024,71619863.0,5500000.0,0.077,0.0,200000000.0,5500000.0,5445301.0,Asia,15358867.692891287,15206119.564903384
40,Vietnam,Hypertension,2024,101598527.0,16400000.0,0.161,47.0,144000000.0,16400000.0,15294988.0,Asia,23244431.486688778,21678250.039983355
41,Vietnam,Diabetes,2024,101598527.0,4300000.0,0.042,1.5,108000000.0,4300000.0,4010271.0,Asia,4570932.411254348,4262948.300421718
42,Vietnam,Heart Problem,2024,101598527.0,15000000.0,0.14800000000000002,1.5,199000000.0,15000000.0,13989318.0,Asia,29380347.21704184,27400734.67797422
43,Vietnam,Stroke,2024,101598527.0,925000.0,0.009000000000000001,0.0,150000000.0,925000.0,862675.0,Asia,1365669.4058172714,1273652.81585234
44,Vietnam,Dermentia,2024,101598527.0,5600000.0,0.055,1.5,50000000.0,5600000.0,5222679.0,Asia,2755945.467595214,2570253.3069204832
45,Vietnam,Pregnancy,2024,101598527.0,485000.0,0.005,0.0,670000000.0,485000.0,452321.0,Asia,3198373.141768089,2982868.7378508947
46,Vietnam,Stunting,2024,101598527.0,1560000.0,0.015,0.0,11000000.0,1560000.0,1454889.0,Asia,168900.08651404956,157519.7935694481
47,Vietnam,Menopouse,2024,101598527.0,1750000.0,0.017,0.0,150000000.0,1750000.0,1632087.0,Asia,2583698.8758705133,2409612.1984130736
48,Sri Lanka,Hypertension,2024,23229470.0,4300000.0,0.185,47.0,29000000.0,4300000.0,4090796.0,Asia,5368181.021779662,5107007.779342361
49,Sri Lanka,Diabetes,2024,23229470.0,1400000.0,0.06,1.5,36000000.0,1400000.0,1331887.0,Asia,2169657.766621451,2064099.2670086746
50,Sri Lanka,Heart Problem,2024,23229470.0,478800.0,0.021,1.5,134000000.0,478800.0,455505.0,Asia,2761974.3369091074,2627596.3248408167
51,Sri Lanka,Stroke,2024,23229470.0,228800.0,0.01,0.0,100000000.0,228800.0,217668.0,Asia,984955.7480218016,937033.8625892025
52,Sri Lanka,Dermentia,2024,23229470.0,87819.0,0.004,1.5,134000000.0,87819.0,83546.0,Asia,506586.934613661,481937.98653176334
53,Sri Lanka,Pregnancy,2024,23229470.0,576000.0,0.025,0.0,212000000.0,576000.0,547976.0,Asia,5256770.817414259,5001014.315005896
54,Sri Lanka,Stunting,2024,23229470.0,244500.0,0.011000000000000001,0.0,37000000.0,244500.0,232605.0,Asia,389440.6544789873,370494.2471782611
55,Sri Lanka,Menopouse,2024,23229470.0,5920000.0,0.255,0.0,1500000000.0,5920000.0,5631980.0,Asia,382273035.07139856,363674677.0374012
56,Malaysia,Hypertension,2019,34100000.0,7000000.0,0.205,50.0,900000000.0,7430202.0,6594707.0,Asia,184750733.1378299,163976289.34976178
57,Malaysia,Diabetes,2019,34100000.0,4000000.0,0.11699999999999999,40.0,800000000.0,4245830.0,3768404.0,Asia,93841642.22873901,83289538.19190806
58,Malaysia,Heart Problem,2019,34100000.0,500000.0,0.015,30.0,2500000000.0,530729.0,471050.0,Asia,36656891.49560117,32534925.996135376
59,Malaysia,Stroke,2019,34100000.0,440000.0,0.013000000000000001,20.0,1200000000.0,467041.0,414524.0,Asia,15483870.967741935,13742768.041846985
60,Malaysia,Dermentia,2019,34100000.0,260000.0,0.008,50.0,2000000000.0,275979.0,244946.0,Asia,15249266.862170087,13534533.137742778
61,Malaysia,Pregnancy,2019,34100000.0,456000.0,0.013000000000000001,0.0,1000000000.0,484025.0,429598.0,Asia,13372434.017595308,11868748.327237042
62,Malaysia,Stunting,2019,34100000.0,500000.0,0.015,0.0,1500000000.0,530729.0,471050.0,Asia,21994134.897360705,19520955.597681228
63,Malaysia,Menopouse,2019,34100000.0,3700000.0,0.109,0.0,60000000.0,3927392.0,3485773.0,Asia,6510263.929618768,5778211.655149016
64,Brunei Darussalam,Hypertension,2016,455500.0,82000.0,0.18,40.0,45000000.0,91647.0,79751.0,Asia,8100987.92535675,7049460.299138283
65,Brunei Darussalam,Diabetes,2016,455500.0,37000.0,0.081,40.0,30000000.0,41353.0,35985.0,Asia,2436882.5466520307,2120552.7637964194
66,Brunei Darussalam,Heart Problem,2016,455500.0,11000.0,0.024,30.0,50000000.0,12294.0,10698.0,Asia,1207464.324917673,1050712.00162431
67,Brunei Darussalam,Stroke,2016,455500.0,2500.0,0.005,20.0,10000000.0,2794.0,2431.0,Asia,54884.7420417124,47754.04720952142
68,Brunei Darussalam,Dermentia,2016,455500.0,2500.0,0.005,40.0,5000000.0,2794.0,2431.0,Asia,27442.3710208562,23877.02360476071
69,Brunei Darussalam,Pregnancy,2016,455500.0,6300.0,0.013999999999999999,0.0,8000000.0,7041.0,6127.0,Asia,110647.6399560922,96284.3473953951
70,Brunei Darussalam,Stunting,2016,455500.0,500.0,0.001,0.0,2000000.0,559.0,486.0,Asia,2195.389681668496,1908.6929969425564
71,Brunei Darussalam,Menopouse,2016,455500.0,20000.0,0.044000000000000004,0.0,3000000.0,22353.0,19452.0,Asia,131723.38090010977,114628.15753003782
72,Singapure,Hypertension,2020,6040000.0,1450000.0,0.24,50.0,1500000000.0,1496960.0,1382308.0,Asia,360099337.74834436,332519369.4983422
73,Singapure,Diabetes,2020,6040000.0,460000.0,0.076,25.0,1800000000.0,474898.0,438525.0,Asia,137086092.71523178,126586506.59288314
74,Singapure,Heart Problem,2020,6040000.0,250000.0,0.040999999999999995,30.0,2500000000.0,258097.0,238329.0,Asia,103476821.19205298,95551390.82546791
75,Singapure,Stroke,2020,6040000.0,90000.0,0.015,10.0,500000000.0,92915.0,85798.0,Asia,7450331.125827814,6879658.934873538
76,Singapure,Dermentia,2020,6040000.0,73900.0,0.012,30.0,2800000000.0,76293.0,70450.0,Asia,34258278.145695366,31634562.743164364
77,Singapure,Pregnancy,2020,6040000.0,33541.0,0.006,0.0,100000000.0,34627.0,31975.0,Asia,555314.5695364239,512784.340570282
78,Singapure,Stunting,2020,6040000.0,3000.0,0.001,0.0,1000000.0,3097.0,2860.0,Asia,496.6887417218543,458.67930297852865
79,Singapure,Menopouse,2020,6040000.0,1000000.0,0.166,0.0,40000000.0,1032386.0,953316.0,Asia,6622516.556291391,6115300.859734134
80,Ethiopia,Hypertension,2023,132060000.0,12000000.0,7.583333333333334e-05,25.0,1000000000.0,12300000.0,9608740.0,Africa,90867787.36937755,70985767.74045795
81,Ethiopia,Diabetes,2023,132060000.0,2300000.0,7.82608695652174e-05,1.5,1000000000.0,2357500.0,1841675.0,Africa,17416325.91246403,13605604.252316942
82,Ethiopia,Heart Problem,2023,132060000.0,1000000.0,0.8,0.0,1500000000.0,1025000.0,800728.0,Africa,11358473.421172194,8873217.27374475
83,Ethiopia,Stroke,2023,132060000.0,200000.0,0.15,0.0,2000000000.0,205000.0,160146.0,Africa,3028926.2456459184,2366197.1830985914
84,Ethiopia,Dermentia,2023,132060000.0,150000.0,0.11,0.0,2800000000.0,153750.0,120109.0,Africa,3180372.5579282143,2484496.6995785357
85,Ethiopia,Pregnancy,2023,132060000.0,4000000.0,7.5e-05,0.0,60000000.0,4100000.0,3202913.0,Africa,1817355.747387551,1419715.2070566593
86,Ethiopia,Stunting,2023,132060000.0,6200000.0,7.580645161290323e-05,0.0,60000000.0,6355000.0,4964516.0,Africa,2816901.408450704,2200558.947706696
87,Ethiopia,Menopouse,2023,132060000.0,6500000.0,7.538461538461539e-05,0.0,60000000.0,6662500.0,5204734.0,Africa,2953203.0895047705,2307037.3776886337
88,Rwanda,Hypertension,2024,14256000.0,1200000.0,0.0007,10.0,40000000.0,1200000.0,1023868.0,Africa,3367003.367003367,2872805.8361391695
89,Rwanda,Diabetes,2024,14256000.0,297000.0,0.0007070707070707071,1.5,1430000000.0,297000.0,253407.0,Africa,29791666.666666668,25418912.037037037
90,Rwanda,Heart Problem,2024,14256000.0,150000.0,1.0,0.0,2800000000.0,150000.0,127984.0,Africa,29461279.461279463,25137149.270482603
91,Rwanda,Stroke,2024,14256000.0,,,0.0,40000000.0,,,Africa,,
92,Rwanda,Dermentia,2024,14256000.0,30000.0,0.21,0.0,2800000000.0,30000.0,25597.0,Africa,5892255.892255892,5027469.135802469
93,Rwanda,Pregnancy,2024,14256000.0,400000.0,0.0007,0.0,100000000.0,400000.0,341289.0,Africa,2805836.1391694727,2394002.525252525
94,Rwanda,Stunting,2024,14256000.0,800000.0,0.0007,0.0,212000000.0,800000.0,682579.0,Africa,11896745.230078563,10150585.578002244
95,Rwanda,Menopouse,2024,14256000.0,600000.0,0.0007,0.0,212000000.0,600000.0,511934.0,Africa,8922558.922558922,7612935.465768799
96,Chile,Hypertension,2024,19764771.0,4000000.0,0.000505,12.0,1600000000.0,4000000.0,3881956.0,South America,323808456.97630394,314252545.60247624
97,Chile,Diabetes,2024,19764771.0,1747100.0,0.0005036918321790396,5.0,1600000000.0,1747100.0,1695542.0,South America,141431438.79582515,137257709.68962908
98,Chile,Heart Problem,2024,19764771.0,1000000.0,0.00051,5.0,1600000000.0,1000000.0,970489.0,South America,80952114.24407598,78563136.40061906
99,Chile,Stroke,2024,19764771.0,200000.0,1.0,0.0,40100000000.0,200000.0,194098.0,South America,405772472.6484309,393798126.9805757
100,Chile,Dermentia,2024,19764771.0,180000.0,0.91,10.0,40100000000.0,180000.0,174688.0,South America,365195225.3835878,354417908.51004547
101,Chile,Pregnancy,2024,19764771.0,250000.0,0.00052,0.0,40100000000.0,250000.0,242622.0,South America,507215590.8105386,492246644.294538
102,Chile,Stunting,2024,19764771.0,100000.0,0.5,0.0,40100000000.0,100000.0,97049.0,South America,202886236.32421544,196899063.49028784
103,Chile,Menopouse,2024,19764771.0,1800000.0,0.0005055555555555555,0.0,414000000.0,1800000.0,1746880.0,South America,37703447.20917839,36590776.58931641
104,Canada,Hypertension,2022,39107046.0,8000000.0,0.00025625,5.0,13900000000.0,8144648.0,7446645.0,North America,2843477362.1101427,2599789024.7891235
105,Canada,Diabetes,2022,39107046.0,3700000.0,0.00025405405405405407,4.0,27000000000.0,3766900.0,3444073.0,North America,2554526874.7734103,2335601432.791283
106,Canada,Heart Problem,2022,39107046.0,2650000.0,0.00025660377358490566,5.0,21200000000.0,2697915.0,2466701.0,North America,1436569768.0157177,1313454309.4701424
107,Canada,Stroke,2022,39107046.0,890000.0,0.0002584269662921348,0.0,3600000000.0,906092.0,828439.0,North America,81928970.03777784,74907574.51685551
108,Canada,Dermentia,2022,39107046.0,771939.0,0.00025908782947875415,1.3,40100000000.0,785896.0,718544.0,North America,791539046.4419123,723703432.2436523
109,Canada,Pregnancy,2022,39107046.0,370000.0,0.9,0.0,40100000000.0,376690.0,344407.0,North America,379394546.957088,346879762.49396
110,Canada,Stunting,2022,39107046.0,50000.0,0.1,0.0,40100000000.0,50904.0,46542.0,North America,51269533.372579455,46876210.55764955
111,Canada,Menopouse,2022,39107046.0,7900000.0,0.00025569620253164556,0.0,13900000000.0,8042840.0,7353562.0,North America,2807933895.0837655,2567291651.8791823
112,Portugal,Hypertension,2024,10223349.0,3000000.0,0.0009766666666666667,20.0,40000000.0,3000000.0,3091503.0,Europe,11737836.59346854,12095852.347405925
113,Portugal,Diabetes,2024,10223349.0,994100.0,0.00097575696609999,5.0,40000000.0,994100.0,1024421.0,Europe,3889527.785855692,4008162.1003058786
114,Portugal,Heart Problem,2024,10223349.0,500000.0,0.00098,1.5,2500000000.0,500000.0,515250.0,Europe,122269131.18196395,125998339.68301384
115,Portugal,Stroke,2024,10223349.0,200000.0,0.001,0.0,100000000.0,200000.0,206100.0,Europe,1956306.0989114232,2015973.4349282216
116,Portugal,Dermentia,2024,10223349.0,193500.0,0.0009819121447028423,10.0,2500000000.0,193500.0,199402.0,Europe,47318153.76742005,48761418.59189196
117,Portugal,Pregnancy,2024,10223349.0,82000.0,0.8,0.0,500000000.0,82000.0,84501.0,Europe,4010427.502768418,4132745.5416028546
118,Portugal,Stunting,2024,10223349.0,5000.0,0.05,0.0,500000000.0,5000.0,5153.0,Europe,244538.2623639279,252021.13319226407
119,Portugal,Menopouse,2024,10223349.0,1800000.0,0.0009777777777777777,0.0,40000000.0,1800000.0,1854902.0,Europe,7042701.956081124,7257512.190965994
120,Finlandia,Hypertension,2024,5571665.0,1500000.0,0.0017933333333333334,8.0,40000000.0,1500000.0,1455734.0,Europe,10768773.786650848,10450980.093024256
121,Finlandia,Diabetes,2024,5571665.0,500000.0,0.0018,1.5,1430000000.0,500000.0,485245.0,Europe,128327887.62425594,124540931.66046414
122,Finlandia,Heart Problem,2024,5571665.0,475000.0,0.0017894736842105263,1.5,2500000000.0,475000.0,460982.0,Europe,213131981.19413137,206842119.9049117
123,Finlandia,Stroke,2024,5571665.0,160000.0,0.0018125,0.0,100000000.0,160000.0,155278.0,Europe,2871673.0097735594,2786922.7600726173
124,Finlandia,Dermentia,2024,5571665.0,200000.0,0.0018,10.0,2500000000.0,200000.0,194098.0,Europe,89739781.55542374,87091560.60172318
125,Finlandia,Pregnancy,2024,5571665.0,46000.0,0.8,0.0,500000000.0,46000.0,44642.0,Europe,4128029.951549492,4006163.3281972264
126,Finlandia,Stunting,2024,5571665.0,2000.0,0.04,0.0,500000000.0,2000.0,1941.0,Europe,179479.56311084746,174184.91599907746
127,Finlandia,Menopouse,2024,5571665.0,1000000.0,0.00179,0.0,40000000.0,1000000.0,970489.0,Europe,7179182.524433899,6967317.66895533
128,Romania,Hypertension,2024,19015088.0,7000000.0,0.0005257142857142857,15.0,40000000.0,7000000.0,7213507.0,Europe,14725148.78711053,15174280.550266188
129,Romania,Diabetes,2024,19015088.0,1199000.0,0.0005254378648874062,2.0,40000000.0,1199000.0,1235571.0,Europe,2522207.627963647,2599138.1160055636
130,Romania,Heart Problem,2024,19015088.0,800000.0,0.000525,1.5,212000000.0,800000.0,824401.0,Europe,8919232.979621235,9191280.734540908
131,Romania,Stroke,2024,19015088.0,280000.0,0.0005357142857142857,0.0,100000000.0,280000.0,288540.0,Europe,1472514.878711053,1517426.58251174
132,Romania,Dermentia,2024,19015088.0,279600.0,0.000536480686695279,10.0,1430000000.0,279600.0,288128.0,Europe,21026881.390188675,21668216.313277118
133,Romania,Pregnancy,2024,19015088.0,180000.0,0.9,0.0,500000000.0,180000.0,185490.0,Europe,4733083.538714099,4877442.586644879
134,Romania,Stunting,2024,19015088.0,35000.0,0.2,0.0,500000000.0,35000.0,36068.0,Europe,920321.7991944081,948404.7615241117
135,Romania,Menopouse,2024,19015088.0,3000000.0,0.0005266666666666667,0.0,40000000.0,3000000.0,3091503.0,Europe,6310778.051618799,6503263.092971224
