Country,Disease,Year,Population,Population 40+,Prevalence % 40+,Prevalence # 40+,Economic Burden ($),% Undiagnosed Susceptible Population 40+,% Undiagnosed Population 40+,Undiagnosed : Diagnosed Ratio,Prevalence # Growth Yearly,Prevalence % Growth Yearly,Economic Burden Growth Yearly ($),Economic Burden Growth Yearly (%)
Australia,Dementia,2024.0,27800000.0,12200000.0,0.038,463600.0,1799280575.539568,0.46,0.018,0.85:1,18000.0,0.001,200000000.0,0.051
Romania,Diabetes,2024.0,19015088.0,8000000.0,0.12,960000.0,605834692.9554046,0.203,2.44,0.25 : 1,24000.0,0.003,61919999.99999999,0.043
Romania,Dementia,2024.0,19015088.0,8000000.0,0.032,256000.0,96765263.45815492,0.56,0.018,1.27 : 1,5000.0,0.000625,10000000.0,0.045
Portugal,Stroke,2024.0,10762000.0,4700000.0,0.032,150400.0,567738338.5987735,0.28,0.9,0.39 : 1,10000.0,0.002127659574468085,53299999.99999999,0.040999999999999995
Portugal,Hypertension,2024.0,10762000.0,4700000.0,0.426,2002200.0,480393978.8143468,0.3,12.8,0.3 : 0.7,-1202.0,-0.0002557446808510638,50000000.0,0.048
Portugal,Heart Problem,2024.0,10762000.0,4700000.0,0.132,620400.0,576472774.5772161,0.39,0.0515,0.64 : 1,11000.0,0.002340425531914894,66000000.0,0.05
Portugal,Diabetes,2024.0,10762000.0,4700000.0,0.132,620400.0,576472774.5772161,0.39,5.15,0.64 : 1,11000.0,0.002340425531914894,63360000.0,0.048
Portugal,Dementia,2024.0,10762000.0,4700000.0,0.047,220900.0,1061233971.3807843,0.46,0.0216,0.84 : 1,-1000.0,-0.0002127659574468085,120000000.0,0.052000000000000005
Malaysia,Stroke,2024.0,34200000.0,12200000.0,0.036000000000000004,439200.0,29287134.502923977,0.3,1.08,0.43 : 1,28000.0,0.001,4000000.0,0.05
Malaysia,Heart Problem,2024.0,34200000.0,12200000.0,0.21,2562000.0,535087719.2982456,0.35,0.076,1 : 1.8,10120000.0,0.8295081967213115,75000000.0,0.05
Malaysia,Diabetes,2024.0,34200000.0,12200000.0,0.18899999999999997,2305800.0,1248538011.6959064,0.47,8.9,0.89 : 1,90000.0,0.007377049180327869,101500000.0,0.028999999999999998
Ethiopia,Stroke,2024.0,132059767.0,29900000.0,1.5016722408026757e-05,449.0,12226282.361985387,0.4,0.006,0.67 : 1,150.0,5.016722408026756e-06,2000000.0,
India,Stroke,2024.0,1450900000.0,386000000.0,0.004,1428200.0,3458542973.3269005,0.36,0.13,0.56 : 1,90000.0,0.0001,800000000.0,
India,Heart Problem,2024.0,1450900000.0,386000000.0,0.16,61760000.0,6118960645.116824,0.45,0.072,1 : 1.2,3500000.0,0.009067357512953367,1610000000.0000002,0.07
India,Diabetes,2024.0,1450900000.0,386000000.0,0.124,47864000.0,14286442897.511889,0.42,5.2,0.72 : 1,143592.0,0.003,8400000000.0,0.184
India,Dementia,2024.0,1450900000.0,386000000.0,0.042,16212000.0,2527396788.2004275,0.56,0.024,1.27 :1,600000.0,0.001,500000000.0,0.055999999999999994
Finlandia,Stroke,2024.0,5637214.0,2250000.0,0.02,45000.0,518873329.98179597,0.15,0.3,0.18 : 1,360.0,0.00016,52000000.0,0.04
Finlandia,Hypertension,2024.0,5637214.0,2250000.0,0.38,855000.0,678526662.283887,0.3,11.4,0.43 : 1,19000.0,0.008444444444444444,100000000.0,0.063
Finlandia,Heart Problem,2024.0,5637214.0,2250000.0,0.10099999999999999,227250.0,22750599.853047978,0.39,0.0394,0.64 : 1,7000.0,0.003111111111111111,3191999.9999999995,0.055999999999999994
Finlandia,Diabetes,2024.0,5637214.0,2250000.0,0.10099999999999999,227250.0,22750599.853047978,0.39,3.94,0.64 : 1,7000.0,0.003111111111111111,3191999.9999999995,0.055999999999999994
Romania,Heart Problem,2024.0,19015088.0,8000000.0,0.12,960000.0,605834692.9554046,0.203,0.0244,0.25 : 1,24000.0,0.003,61919999.99999999,0.043
Romania,Stroke,2024.0,19015088.0,8000000.0,0.047,376000.0,483826317.2907746,0.3,1.4,0.3 : 1,32800.0,0.002,5000000.0,0.034
Rwanda,Dementia,2024.0,13798561.0,3840000.0,0.032,122880.0,61223775.43571391,0.56,0.0179,1.27 : 1,6000.0,0.0015625,10000000.0,0.048
Rwanda,Diabetes,2024.0,13798561.0,3840000.0,0.054000000000000006,207360.0,7235537.096948008,0.53,2.86,1.13 : 1,8400.0,0.0021875,3380000.0,0.13
Vietnam,Heart Problem,2024.0,100987686.0,40980000.0,0.128,5245440.0,446371253.61997104,0.45,0.57,1 : 1.22,280000.0,0.006832601268911664,52800000.0,0.048
Vietnam,Diabetes,2024.0,100987686.0,40980000.0,0.126,5163480.0,365212843.87088543,0.42,5.3,0.72 : 1,230000.0,0.005612493899463153,53100000.0,0.059000000000000004
Vietnam,Dementia,2024.0,100987686.0,40980000.0,0.042,1721160.0,624919755.0679594,0.56,0.0235,1.27 : 1,80000.0,0.001,80000000.0,0.054000000000000006
US,Stroke,2024.0,345400000.0,144000000.0,0.032,4608000.0,25222929936.305733,0.23,0.74,0.23 : 0.77,230000.0,0.001,2200000000.0,0.038
US,Heart Problem,2024.0,345400000.0,144000000.0,0.31,44640000.0,170932252460.9149,0.3,0.091,1 : 7,1700000.0,0.011805555555555555,15000000000.0,0.038
US,Diabetes,2024.0,345400000.0,144000000.0,0.18100000000000002,26064000.0,179270411117.54486,0.057999999999999996,1.01,0.064 : 1,600000.0,0.004166666666666667,20000000000.0,0.047
US,Dementia,2024.0,345400000.0,144000000.0,0.032,4608000.0,158841922408.8014,0.46,0.015,0.85:1,200000.0,0.001,19000000000.0,0.052000000000000005
Thailand,Stroke,2024.0,71885799.0,22200000.0,0.027999999999999997,610500.0,432352431.66734505,0.3,0.83,0.43 : 1,48250.0,0.001,100000000.0,0.077
Thailand,Heart Problem,2024.0,71885799.0,22200000.0,0.08800000000000001,1953600.0,432352431.66734505,0.4,0.036,1 : 1.5,100000.0,0.0045045045045045045,50000000.0,0.037000000000000005
Thailand,Diabetes,2024.0,71885799.0,22200000.0,0.156,3463200.0,1420586561.1927052,0.51,7.96,1 : 1,150000.0,0.006756756756756757,322000000.00000006,0.07
Thailand,Dementia,2024.0,71885799.0,22200000.0,0.032,710400.0,423087736.7030448,0.56,0.018,1.27 : 1,33000.0,0.001,70000000.0,0.054000000000000006
Sri Lanka,Stroke,2024.0,21916000.0,7250000.0,0.011000000000000001,78300.0,56237452.08979741,0.28,0.3,0.39 : 1,3900.0,0.0002,10000000.0,0.063
Sri Lanka,Heart Problem,2024.0,21916000.0,7250000.0,0.084,609000.0,297727687.5342216,0.45,0.38,1 : 1.22,20000.0,0.002758620689655172,53100000.0,0.059000000000000004
Sri Lanka,Diabetes,2024.0,21916000.0,7250000.0,0.17800000000000002,1286875.0,310960029.2024092,0.42,7.46,0.72 : 1,35000.0,0.004827586206896552,41360000.00000001,0.044000000000000004
Sri Lanka,Dementia,2024.0,21916000.0,7250000.0,0.042,304500.0,185252783.35462674,0.56,0.0235,1.27 : 1,16000.0,0.001,30000000.0,0.057
Singapore,Stroke,2024.0,6037000.0,2200000.0,0.037000000000000005,80300.0,510187179.06244826,0.23,0.86,0.30 : 1,5000.0,0.0005,100000000.0,0.077
Singapore,Heart Problem,2024.0,6037000.0,2200000.0,0.23,506000.0,3170448898.4595,0.25,0.053,1 : 3,13000.0,0.005909090909090909,300000000.0,0.036000000000000004
Singapore,Diabetes,2024.0,6037000.0,2200000.0,0.18600000000000003,409200.0,400861354.9776379,0.38,7.07,0.62 : 1,17000.0,0.007727272727272728,52800000.0,0.048
Singapore,Dementia,2024.0,6037000.0,2200000.0,0.08800000000000001,193600.0,320689083.9821103,0.515,0.045,1.06 : 1,3000.0,0.0013636363636363637,40000000.0,0.048
Rwanda,Stroke,2024.0,13798561.0,3840000.0,0.027000000000000003,103680.0,28302081.644600477,0.38,1.0,0.61 : 1,4439.0,0.0011559895833333333,1000000.0,0.063
Rwanda,Heart Problem,2024.0,13798561.0,3840000.0,0.106,407040.0,7235537.096948008,0.45,0.049,1 : 1.22,12211.199999999999,0.03,1352000.0000000002,0.052000000000000005
Finlandia,Dementia,2024.0,5637214.0,2250000.0,0.055,123750.0,894058660.8917099,0.36,0.0202,0.56 : 1,2000.0,0.0008888888888888889,110000000.0,0.052000000000000005
Malaysia,Dementia,2024.0,34200000.0,12200000.0,0.042,512400.0,713450292.3976609,0.56,0.0235,1.27 : 1,25000.0,0.001,100000000.0,0.053
Vietnam,Stroke,2024.0,100987686.0,40980000.0,0.004,170067.0,568108868.2435995,0.4,0.17,2 : 3,4150.0,0.00010126891166422646,100000000.0,0.071
Brunei Darussalam,Dementia,2024.0,455500.0,77400.0,0.032,2477.0,747661.909989023,0.56,0.018,1.27 : 1,121.0,0.0015633074935400516,200000.0,0.048
Chile,Dementia,2024.0,19765000.0,7750000.0,0.047,364250.0,2634960789.273969,0.46,0.0216,0.85 : 1,11000.0,0.0014193548387096775,320000000.0,0.05
Chile,Diabetes,2024.0,19765000.0,7750000.0,0.131,1015250.0,745003794.5863901,0.39,5.11, 0.64 : 1,28000.0,0.0036129032258064514,106399999.99999999,0.055999999999999994
Chile,Heart Problem,2024.0,19765000.0,7750000.0,0.131,1015250.0,745003794.5863901,0.39,0.0511,0.64 : 1,28000.0,0.0036129032258064514,106399999.99999999,0.055999999999999994
Canada,Stroke,2024.0,19765000.0,17800000.0,0.013000000000000001,222500.0,2611687326.081457,0.26,0.33,0.35 : 1,200000000.0,0.07400000000000001,214600000.00000003,0.07400000000000001
Chile,Stroke,2024.0,19765000.0,7750000.0,0.027000000000000003,209250.0,509739438.40121424,0.33,0.86,0.49 : 1,9300.0,0.0012,52000000.0,0.04
Canada,Hypertension,2024.0,19765000.0,17800000.0,0.23,4094000.0,13238552997.723248,0.3,6.9,0.43 : 1,115000.0,0.0064606741573033704,400000000.0,0.028999999999999998
Canada,Heart Problem,2024.0,19765000.0,17800000.0,0.113,2011400.0,15129774854.540855,0.215,0.0243,0.26 : 1,70000.0,0.003932584269662922,756000000.0,0.045
China,Dementia,2024.0,1408000000.0,594000000.0,0.052000000000000005,30888000.0,41343750000.0,0.56,0.291,1.27 : 1,1300000.0,0.0021885521885521885,3700000000.0,0.039
China,Diabetes,2024.0,1408000000.0,594000000.0,0.14,83160000.0,78553125000.0,0.485,6.8,0.94 : 1,4950000.0,0.005,11172000000.0,0.06
Canada,Diabetes,2024.0,19765000.0,17800000.0,0.113,2011400.0,15129774854.540855,0.215,2.43,0.26 : 1,70000.0,0.003932584269662922,722400000.0,0.043
Canada,Dementia,2024.0,41288599.0,17800000.0,0.045,801000.0,19055139168.07882,0.46,0.0207,0.85 : 1,26000.0,0.0014606741573033708,2100000000.0,0.05
China,Hypertension,2024.0,1408000000.0,594000000.0,0.47,279180000.0,42187500000.0,0.38,17.0,0.38 : 0.62,5000000.0,0.005,5000000000.0,0.005
Brunei Darussalam,Heart Problem,2024.0,455500.0,77400.0,0.10400000000000001,8050.0,9175850.713501647,0.45,0.05,1 : 1.22,452.0,0.005839793281653747,2000000.0,
China,Stroke,2024.0,1408000000.0,594000000.0,0.027999999999999997,16632000.0,103359375000.0,0.28,0.78,0.39 : 1,1000000.0,0.001,10000000000.0,0.043
China,Heart Problem,2024.0,1408000000.0,594000000.0,0.26,154440000.0,97031250000.0,0.36,0.08,1: 6,5000000.0,0.005,15000000000.0,0.07
Australia,Stroke,2024.0,27800000.0,12200000.0,0.021,256200.0,4169064748.201439,0.25,0.5,0.25 : 0.75,17600.0,0.001,500000000.0,0.055999999999999994
Ethiopia,Heart Problem,2024.0,132059767.0,29900000.0,0.126,3767400.0,452825272.6661255,0.45,0.053,1 : 1.22,220000.0,0.007357859531772575,100000000.0,
Ethiopia,Dementia,2024.0,132059767.0,29900000.0,0.032,956800.0,382637355.402876,0.56,0.0179,1.27 : 1,55000.0,0.0018394648829431438,80000000.0,0.05
Australia,Heart Problem,2024.0,27800000.0,12000000.0,0.23,2760000.0,6690647482.014388,0.25,0.05,1 : 4,120000.0,0.01,1200000000.0,0.077
Australia,Diabetes,2024.0,27800000.0,12200000.0,0.126,1537200.0,5617266187.05036,0.22,2.8,0.28 : 1,60000.0,0.004918032786885246,742400000.0,0.057999999999999996
Ethiopia,Diabetes,2024.0,132059767.0,29900000.0,0.069,2063100.0,9056505.45332251,0.52,3.59,0.52 : 1,130000.0,0.004347826086956522,5720000.000000001,0.14300000000000002
