Country,Disease,Year,Population,Population 40+,Prevalence % 40+,Prevalence # 40+,Economic Burden ($),% Undiagnosed Susceptible Population 40+,% Undiagnosed Population 40+,Undiagnosed : Diagnosed Ratio,Prevalence # Growth Yearly,Prevalence % Growth Yearly,Economic Burden Growth Yearly ($),Economic Burden Growth Yearly (%),Source,,,,,Population Over 50,% Undiagnosed out of Population
Malaysia,Diabetes,2022,"33,000,000","11,600,000",18.3%,"2,122,800",3.3 B,49%,9,0.96 : 1,0,,,0%,,,,,,"2,000,000",3%
Malaysia,Diabetes,2023,"33,700,000","11,900,000",18.6%,"2,213,400",3.4 B,48%,8.9,0.92 : 1,90000,,,3%,,,,,,,
Malaysia,Diabetes,2024,"34,200,000","12,200,000",18.9%,"2,305,800",3.5 B,47%,8.9,0.89 : 1,90000,,,2.9%,,,,,,,
Malaysia,Heart Problem,2022,"33,000,000","11,600,000",20.0%,"2,320,000",1.3 B,40%,0.088,1 : 1.5,10120000,,0.07 B,5.4%,,,,,,"2,000,000",3%
Malaysia,Heart Problem,2023,"33,700,000","11,900,000",20.5%,"2,439,500",1.4 b,38%,0.081,1 : 1.6,10120000,,,5%,,,,,,,
Malaysia,Heart Problem,2024,"34,200,000","12,200,000",21.0%,"2,562,000",1.5 b,35%,0.076,1 : 1.8,10120000,,,5%,,,,,,,
Malaysia,Hypertension,2024,"34,200,000","12,200,000",43.5%,"5,307,000",0,39%,17,0.64 : 1,130000,,,,,,,,,"2,000,000",0.50%
Malaysia,Hypertension,2022,"33,000,000","11,600,000",43.5%,"5,046,000",0,39%,17,0.64 : 1,0,,,,,,,,,,
Malaysia,Hypertension,2023,"33,700,000","11,900,000",43.5%,"5,176,500",0,39%,17,0.64 : 1,130000,,,,,,,,,,
Malaysia,Stroke,2024,"34,200,000","12,200,000",3.6%,"439,200",0.0821 B,30%,1.08,0.43 : 1,28000,0.10%,0.0040 B,5%,,,,,,"2,000,000",4%
Malaysia,Stroke,2022,"33,000,000","11,600,000",3.4%,"394,400",0.0745 B,30%,1,0.43 : 1,27500,0.10%,0.0037 B,5%,,,,,,,
Malaysia,Stroke,2023,"33,700,000","11,900,000",3.5%,"416,500",0.0782 B,30%,1.05,0.43 : 1,28000,0.10%,0.0039 B,5%,,,,,,,
New Countries add here,,,,,,,,,,,,,,,,,,,,"14,000,000",8%
Note:,,,,,,,,,,,,,,,,,,,,,
Portugal,Dementia,2022,"10,516,621","4,700,000",4.5%,"211,500",2.2 B,50%,0.0225,1:1,0,,0,0%,,,,,,,
Portugal,Dementia,2023,"10,639,726","4,800,000",4.6%,"220,800",2.31 B,48%,0.0221,0.92 : 1,9000,,0.11 b,5%,,,,,,"14,000,000",0.60%
Portugal,Dementia,2024,"10,762,000","4,700,000",4.7%,"220,900",2.43 B,46%,0.0216,0.84 : 1,-1000,,0.12 B,5.2%,,,,,,,
Portugal,Diabetes,2022,"10,516,621","4,700,000",12.6%,"592,200",1.20 B,41%,5.17,0.70 : 1,0,,,0%,"PREVADIAB/INSEF 2018, IDF Europe 2021, WHO population, ResearchGate cost estimates",,,,,,
Portugal,Diabetes,2023,"10,639,726","4,800,000",12.9%,"619,200",1.26 B,40%,5.16,0.67 : 1,11000,,,5%,,,,,,"14,000,000",
Portugal,Diabetes,2024,"10,762,000","4,700,000",13.2%,"620,400",1.32 B,39%,5.15,0.64 : 1,11000,,,4.8%,,,,,,,
Portugal,Heart Problem,2022,"10,516,621","4,700,000",12.6%,"592,200",1.2 B,41%,0.0517,0.70 : 1,0,,,0%,,,,,,,
Portugal,Heart Problem,2023,"10,639,726","4,800,000",12.9%,"619,200",1.26 B,40%,0.0516,0.67 : 1,11000,,,5%,,,,,,"14,000,000",
Portugal,Heart Problem,2024,"10,762,000","4,700,000",13.2%,"620,400",1.32 B,39%,0.0515,0.64 : 1,11000,,,5%,,,,,,,
Portugal,Hypertension,2024,"10,762,000","4,700,000",42.6%,"2,002,200",1.10 B,30%,12.8,0.3 : 0.7,-1202,,0.05 B,4.8%,,,,,,,
Portugal,Hypertension,2022,"10,516,621","4,700,000",42.6%,"2,002,200",1 B,30%,12.8,0.3 : 0.7,0,,0,0%,,,,,,"2,000,000",
Portugal,Hypertension,2023,"10,639,726","4,800,000",42.6%,"2,044,800",1.05 B,30%,12.8,0.3 : 0.7,4544,,0.05 B,5%,,,,,,,
Portugal,Stroke,2024,"10,762,000","4,700,000",3.2%,"150,400",1.3 B,28%,0.9,0.39 : 1,10000,,,4.1%,,,,,,,
Portugal,Stroke,2022,"10,516,621","4,700,000",3.0%,"141,000",1.2 B,30%,0.9,0.43 : 1,0,0.00%,,0%,,,,,,"1,000,000",6
Portugal,Stroke,2023,"10,639,726","4,800,000",3.1%,"148,800",1.25 B,29%,0.9,0.41 : 1,10000,,,4.2%,,,,,,,
Romania,Dementia,2022,"19,166,772","8,000,000",3.0%,"240,000",0.21 B,60%,0.018,1.5 : 1,0,,0,0%,,,,,,,
Romania,Dementia,2023,"19,118,479","8,100,000",3.1%,"251,100",0.22 B,58%,0.018,1.38 : 1,11000,,0.01 B,5%,,,,,,"1,000,000",0.7
Romania,Dementia,2024,"19,015,088","8,000,000",3.2%,"256,000",0.23 B,56%,0.018,1.27 : 1,5000,,0.01 B,4.5%,,,,,,,
Romania,Diabetes,2022,"19,166,772","8,000,000",11.6%,"928,000",1.32 B,21.3%,2.47,0.27 : 1,0,,,0%,,,,,,,
Romania,Diabetes,2023,"19,118,479","8,100,000",11.8%,"955,800",1.38 B,20.8%,2.45,0.26 : 1,22000,,,4.5%,,,,,,"1,000,000",
Romania,Diabetes,2024,"19,015,088","8,000,000",12.0%,"960,000",1.44 B,20.3%,2.44,0.25 : 1,24000,,,4.3%,,,,,,,
Romania,Heart Problem,2022,"19,166,772","8,000,000",11.6%,"928,000",1.32 B,21.3%,0.0247,0.27 : 1,0,,,0%,,,,,,,
Romania,Heart Problem,2023,"19,118,479","8,100,000",11.8%,"955,800",1.38 B,20.8%,0.0245,0.26 : 1,22000,,,4.5%,,,,,,"1,000,000",
Romania,Heart Problem,2024,"19,015,088","8,000,000",12.0%,"960,000",1.44 B,20.3%,0.0244,0.25 : 1,24000,,,4.3%,,,,,,,
Romania,Hypertension,2024,"19,015,088","8,000,000",45.1%,"3,608,000",0,30%,13.5,0.43 : 1,50000,,,,,,,,,,
Romania,Hypertension,2022,"19,166,772","8,000,000",45.1%,"3,608,000",0,30%,13.5,0.43 : 1,0,,,,,,,,,"200,000",
Romania,Hypertension,2023,"19,118,479","8,100,000",45.1%,"3,653,100",0,30%,13.5,0.43 : 1,50000,,,,,,,,,,
Romania,Stroke,2024,"19,015,088","8,000,000",4.7%,"376,000",1.15 B,30%,1.4,0.3 : 1,32800,0.20%,5000000,3.4%,,,,,,,
Romania,Stroke,2022,"19,166,772","8,000,000",4.3%,"344,000",0.14 B,30%,1.3,0.3 : 1,0,0.00%,0,0%,,,,,,"5,500,000",6.5
Romania,Stroke,2023,"19,118,479","8,100,000",4.5%,"364,500",0.145 B,30%,1.35,0.3 : 1,32000,0.20%,5000000,3.6%,,,,,,,
Rwanda,Dementia,2022,"13,246,394","3,730,000",3.0%,"111,900",0.20 B,60%,0.018,1.5 : 1,0,,0,0%,,,,,,,
Rwanda,Dementia,2023,"13,519,700","3,780,000",3.1%,"117,180",0.21 B,58%,0.018,1.38 : 1,5000,,0.01 B,5%,,,,,,"5,500,000",2.5
Rwanda,Dementia,2024,"13,798,561","3,840,000",3.2%,"122,880",0.22 B,56%,0.0179,1.27 : 1,6000,,0.01 B,4.8%,,,,,,,
Rwanda,Diabetes,2022,"13,246,394","3,730,000",5.0%,"186,500",0.02 B,55%,2.75,1.22 : 1,0,,,0%,,,,,,,
Rwanda,Diabetes,2023,"13,519,700","3,780,000",5.2%,"196,560",0.023 B,54%,2.81,1.17 : 1,8200,,,15%,,,,,,"5,500,000",
Rwanda,Diabetes,2024,"13,798,561","3,840,000",5.4%,"207,360",0.026 B,53%,2.86,1.13 : 1,8400,,,13%,,,,,,,
Rwanda,Heart Problem,2022,"13,246,394","3,730,000",10.0%,"373,000",0.02 B,50%,0.05,1 : 1,21000,,0.000009 B,,,,,,,,
Rwanda,Heart Problem,2023,"13,519,700","3,780,000",10.3%,"389,340",0.023 B,48%,0.052,1 : 1.08,,3.00%,,5.3%,,,,,,"5,500,000",
Rwanda,Heart Problem,2024,"13,798,561","3,840,000",10.6%,"407,040",0.026 B,45%,0.049,1 : 1.22,,3.00%,,5.2%,,,,,,,
Rwanda,Hypertension,2024,"13,798,561","3,840,000",27.4%,"1,052,160",0,62.6%,17.1,1.67 : 1,274000,,,,,,,,,,
Rwanda,Hypertension,2022,"13,246,394","3,730,000",27.4%,"1,022,020",0,62.6%,17.1,1.67 : 1,0,,,,Worldometer; PLOS ONE,,,,,"2,000,000",
Rwanda,Hypertension,2023,"13,519,700","3,780,000",27.4%,"1,035,720",0,62.6%,17.1,1.67 : 1,274000,,,,,,,,,,
Rwanda,Stroke,2024,"13,798,561","3,840,000",2.7%,"103,680",0.1017 B,38%,1,0.61 : 1,4439,,1000000,6.3%,,,,,,,
Rwanda,Stroke,2022,"13,246,394","3,730,000",2.5%,"93,250",0.015 B,40%,1,0.67 : 1,,0.00%,0,0%,,,,,,"16,000,000",2
Rwanda,Stroke,2023,"13,519,700","3,780,000",2.6%,"98,280",0.016 B,39%,1,0.64 : 1,4308,,1000000,6.7%,,,,,,,
Singapure,Dementia,2022,"5,637,000","2,130,000",8.8%,"187,440",0.4 B,51.5%,0.045,1.06 : 1,0,0.00%,0,0%,,,,,,,
Singapure,Dementia,2023,"5,918,000","2,170,000",8.8%,"190,960",0.84 B,51.5%,0.045,1.06 : 1,4000,0.00%,0.04 B,5%,,,,,,"16,000,000",2.5
Singapure,Dementia,2024,"6,037,000","2,200,000",8.8%,"193,600",0.88 B,51.5%,0.045,1.06 : 1,3000,0.00%,0.04 B,4.8%,,,,,,,
Singapure,Diabetes,2022,"5,637,000","2,130,000",18.0%,"383,400",1 B,40%,7.2,0.67 : 1,,,,0%,,,,,,,
Singapure,Diabetes,2023,"5,918,000","2,170,000",18.3%,"397,110",1.05 B,39%,7.14,0.64 : 1,17000,,,5%,,,,,,"16,000,000",
Singapure,Diabetes,2024,"6,037,000","2,200,000",18.6%,"409,200",1.10 B,38%,7.07,0.62 : 1,17000,,,4.8%,,,,,,,
Singapure,Heart Problem,2022,"5,637,000","2,130,000",22.0%,"468,600",8.1 B,30%,0.066,1 : 2.3,19000,,0.3 B,3.7%,,,,,,,
Singapure,Heart Problem,2023,"5,918,000","2,170,000",22.5%,"488,250",8.4 B,28%,0.06,1 : 2.6,13000,,0.3 B,3.6%,,,,,,"16,000,000",
Singapure,Heart Problem,2024,"6,037,000","2,200,000",23.0%,"506,000",8.7 B,25%,0.053,1 : 3,13000,,0.3 B,3.6%,,,,,,,
Singapure,Hypertension,2022,"5,637,000","2,130,000",35.5%,"756,150",0,53%,18.8,1.13 : 1,0,,,,Worldometer; JAPSC Journal; Agency for Care Effectiveness,,,,,,
Singapure,Hypertension,2023,"5,918,000","2,170,000",35.5%,"770,350",0,53%,18.8,1.13 : 1,17750,,,,,,,,,"7,700,000",0.8
Singapure,Hypertension,2024,"6,037,000","2,200,000",35.5%,"781,000",0,53%,18.8,1.13 : 1,18250,,,,,,,,,,
Singapure,Stroke,2024,"6,037,000","2,200,000",3.7%,"80,300",1.4 B,23%,0.86,0.30 : 1,5000,0.05%,100000000,7.7%,,,,,,,
Singapure,Stroke,2022,"5,637,000","2,130,000",3.7%,"77,745",1.2 B,25%,0.91,0.34 : 1,0,0.00%,,0%,,,,,,"3,500,000",12
Singapure,Stroke,2023,"5,918,000","2,170,000",3.7%,"79,205",1.3 B,24%,0.89,0.32 : 1,4900,0.05%,100000000,8.3%,,,,,,,
Sri Lanka,Dementia,2022,"22,180,000","6,850,000",4.0%,"274,000",0.5 B,60%,0.024,1.5 : 1,0,0.00%,0,0%,Population: Worldometer/UN; Prevalence: De Silva et al. Ragama & systematic review; Economic: LMIC cost estimate; Undiagnosed: LAMIC data,,,,,,
Sri Lanka,Dementia,2023,"22,040,000","7,050,000",4.1%,"289,050",0.53 B,58%,0.0238,1.38 : 1,15000,0.10%,0.03 B,6%,,,,,,"3,500,000",3
Sri Lanka,Dementia,2024,"21,916,000","7,250,000",4.2%,"304,500",0.56 B,56%,0.0235,1.27 : 1,16000,0.10%,0.03 B,5.7%,,,,,,,
Sri Lanka,Diabetes,2022,"22,180,000","6,850,000",17.3%,"1,181,625",0.87 B,44%,7.6,0.79 : 1,,,,0%,,,,,,,
Sri Lanka,Diabetes,2023,"22,040,000","7,050,000",17.5%,"1,233,750",0.90 b,43%,7.53,0.75 : 1,30000,,,3.4%,,,,,,"3,500,000",
Sri Lanka,Diabetes,2024,"21,916,000","7,250,000",17.8%,"1,286,875",0.94 b,42%,7.46,0.72 : 1,35000,,,4.4%,,,,,,,
Sri Lanka,Heart Problem,2022,"22,180,000","6,850,000",8.0%,"548,000",0.8 B,50%,0.04,1 : 1,20000,,,6.7%,,,,,,,
Sri Lanka,Heart Problem,2023,"22,040,000","7,050,000",8.2%,"578,100",0.85 B,48%,0.39,1 : 1.08,20000,,,5.9%,,,,,,"3,500,000",
Sri Lanka,Heart Problem,2024,"21,916,000","7,250,000",8.4%,"609,000",0.9 B,45%,0.38,1 : 1.22,20000,,,5.9%,,,,,,,
Sri Lanka,Hypertension,2022,"22,180,000","6,850,000",34.8%,"2,383,800",0,47%,16.4,0.89 : 1,0,,,,Worldometer; WHO Sri Lanka; PMC Article,,,,,,
Sri Lanka,Hypertension,2023,"22,040,000","7,050,000",34.8%,"2,453,400",0,47%,16.4,0.89 : 1,60000,,,,Worldometer; WHO Sri Lanka; PMC Article,,,,,"2,000,000",
Sri Lanka,Hypertension,2024,"21,916,000","7,250,000",34.8%,"2,523,000",0,47%,16.4,0.89 : 1,70000,,,,Worldometer; WHO Sri Lanka; PMC Article,,,,,,
Sri Lanka,Stroke,2024,"21,916,000","7,250,000",1.1%,"78,300",0.17 B,28%,0.3,0.39 : 1,3900,0.02%,0.01 b,6.3%,,,,,,,
Sri Lanka,Stroke,2022,"22,180,000","6,850,000",1.0%,"71,240",0.15 B,30%,0.31,0.43 : 1,0,0.00%,0,0%,,,,,,"2,200,000",5
Sri Lanka,Stroke,2023,"22,040,000","7,050,000",1.1%,"74,730",0.16 B,29%,0.3,0.41 : 1,3800,0.02%,0.01 b,6.7%,,,,,,,
Thailand,Dementia,2022,"71,735,329","21,600,000",3.0%,"648,000",1.2 B,60%,0.018,1.5 : 1,0,0.00%,0,0%,Population: WHO/UN; Prevalence: Thai NHES & academic; Economic: regional cost estimates; Undiagnosed: LMIC studies,,,,,,
Thailand,Dementia,2023,"71,801,279","21,900,000",3.1%,"678,900",1.3 B,58%,0.018,1.38 : 1,30000,0.10%,0.06 B,5.1%,Estimates based on 2022 baseline + trends.,,,,,"2,200,000",0.8
Thailand,Dementia,2024,"71,885,799","22,200,000",3.2%,"710,400",1.37 B,56%,0.018,1.27 : 1,33000,0.10%,0.07 b,5.4%,Estimates projected similarly.,,,,,,
Thailand,Diabetes,2022,"71,735,329","21,600,000",15.0%,"3,240,000",4 B,53%,8,1.13 : 1,0,,,0%,"NHES VI (2020), IDF Atlas 2021, Chatterjee et al 2011, MDPI 2023",,,,,,
Thailand,Diabetes,2023,"71,801,279","21,900,000",15.3%,"3,350,700",4.3 B,52%,7.96,1.08 : 1,150000,,,7.5%,,,,,,"2,200,000",
Thailand,Diabetes,2024,"71,885,799","22,200,000",15.6%,"3,463,200",4.6 B,51%,7.96,1 : 1,150000,,,7%,,,,,,,
Thailand,Heart Problem,2022,"71,735,329","21,600,000",8.4%,"1,814,400",1.3 B,45%,0.038,1 : 1.2,110000,,0.05 B,4%,,,,,,,
Thailand,Heart Problem,2023,"71,801,279","21,900,000",8.6%,"1,883,400",1.35 B,43%,0.037,1 : 1.3,110000,,0.05 B,3.8%,,,,,,"2,200,000",
Thailand,Heart Problem,2024,"71,885,799","22,200,000",8.8%,"1,953,600",1.4 B,40%,0.036,1 : 1.5,100000,,0.05 B,3.7%,,,,,,,
Thailand,Hypertension,2022,"71,735,329","21,600,000",25.7%,"5,551,200",0,57%,14.7,0.95 : 1,0,,,,Worldometer; PMC Article; PMC Article,,,,,,
Thailand,Hypertension,2023,"71,801,279","21,900,000",25.7%,"5,628,300",0,57%,14.7,0.95 : 1,,,,,Worldometer; PMC Article; PMC Article,,,,,"1,350,000",6
Thailand,Hypertension,2024,"71,885,799","22,200,000",25.7%,"5,705,400",0,57%,14.7,0.95 : 1,,,,,Worldometer; PMC Article; PMC Article,,,,,,
Thailand,Stroke,2022,"71,735,329","21,600,000",2.6%,"552,960",1.2 B,30%,0.77,0.43 : 1,0,0.00%,0,0%,,,,,,,
Thailand,Stroke,2023,"71,801,279","21,900,000",2.7%,"580,350",1.3 B,30%,0.8,0.43 : 1,44250,0.09%,0.1 B,8.3%,,,,,,"6,500,000",10
Thailand,Stroke,2024,"71,885,799","22,200,000",2.8%,"610,500",1.4 B,30%,0.83,0.43 : 1,48250,0.10%,0.1 B,7.7%,,,,,,,
"Untuk Indonesia, semua provinces, all done datanya",,,,,,,,,,,,,,,,,,,,,
US,Dementia,2022,"341,500,000","140,000,000",3.0%,"4,200,000",345 B,50%,0.015,1:1,0,0.00%,0,0%,Population & prevalence: NHIS 2022; Economic: Alzheimer’s Association facts & figures; Estimates extrapolated.,,,,,"6,500,000",1.3
US,Dementia,2023,"343,500,000","142,000,000",3.1%,"4,402,000",362 B,48%,0.015,0.92:1,200000,0.10%,17 B,4.9%,Estimates based on + trends from 2022; national projections.,,,,,,
US,Dementia,2024,"345,400,000","144,000,000",3.2%,"4,608,000",381 B,46%,0.015,0.85:1,200000,0.10%,19 B,5.2%,Estimates similarly projected.,,,,,,
US,Diabetes,2022,"341,500,000","140,000,000",17.7%,"24,780,000",372 B,6.2%,1.1,0.076 : 1,0,,0,,,,,,,"6,500,000",
US,Diabetes,2023,"343,500,000","142,000,000",17.9%,"25,418,000",413 B,6%,1.05,0.071 : 1,500000,,17 B,4.1%,,,,,,,
US,Diabetes,2024,"345,400,000","144,000,000",18.1%,"26,064,000",430 B,5.8%,1.01,0.064 : 1,600000,,20 B,4.7%,,,,,,,
US,Heart Problem,2022,"341,500,000","140,000,000",30.0%,"42,000,000",383 B,35%,0.105,1 : 5.5,1700000,,12 B,3.2%,,,,,,"6,500,000",
US,Heart Problem,2023,"343,500,000","142,000,000",30.5%,"43,310,000",395 B,33%,0.099,1 : 6.1,1700000,,12 B,31%,,,,,,,
US,Heart Problem,2024,"345,400,000","144,000,000",31.0%,"44,640,000",410 B,30%,0.091,1 : 7,1700000,,15 B,3.8%,,,,,,,
US,Hypertension,2022,"341,500,000","140,000,000",60.9%,"85,260,000",219 B,41%,25,0.7 : 1,,,,,,,,,,"3,000,000",
US,Hypertension,2023,"343,500,000","142,000,000",60.9%,"86,478,000",219 B,41%,25,0.7 : 1,,,,,,,,,,,
US,Hypertension,2024,"345,400,000","144,000,000",60.9%,"87,696,000",219 B,41%,25,0.7 : 1,,,,,,,,,,,
US,Stroke,2022,"341,500,000","140,000,000",3.0%,"4,200,000",56.2 B,25%,0.75,0.25 : 0.75,0,0.00%,0,0%,CDC; AHA; U.S. Census Bureau,,,,,,
US,Stroke,2023,"343,500,000","142,000,000",31.0%,"44,020,000",58.3 B,24%,0.74,0.24 : 0.76,230000,0.10%,2.1 B,3.7%,,,,,,,
US,Stroke,2024,"345,400,000","144,000,000",3.2%,"4,608,000",60.5 B,23%,0.74,0.23 : 0.77,230000,0.10%,2.2 B,3.8%,,,,,,,
Vietnam,Dementia,2022,"99,680,655","38,800,000",4.0%,"1,552,000",1.4 B,60%,0.024,1.5 : 1,0,0.00%,0,0%,Population & age‐structure: Worldometer & 2019 census; Prevalence: small rural and hospital studies; Cost: situational analysis 2015; Undiagnosed: LMIC reviews,,,,,,
Vietnam,Dementia,2023,"100,352,192","39,900,000",4.1%,"1,635,900",1.47 B,58%,0.0238,1.38 : 1,90000,0.10%,0.07 B,5%,,,,,,,
Vietnam,Dementia,2024,"100,987,686","40,980,000",4.2%,"1,721,160",1.54 B,56%,0.0235,1.27 : 1,80000,0.10%,0.08 B,5.4%,,,,,,,
Vietnam,Diabetes,2022,"99,680,655","38,800,000",12.0%,"4,656,000",0.08 B,44%,5.3,0.79 : 1,0,,,0%,,,,,,,
Vietnam,Diabetes,2023,"100,352,192","39,900,000",12.3%,"4,907,700",0.85 B,43%,5.3,0.77 : 1,220000,,,6.3%,,,,,,,
Vietnam,Diabetes,2024,"100,987,686","40,980,000",12.6%,"5,163,480",0.90 B,42%,5.3,0.72 : 1,230000,,,5.9%,,,,,,,
Vietnam,Heart Problem,2022,"99,680,655","38,800,000",12.0%,"4,656,000",1 B,50%,0.06,1 : 1,240000,,,5%,,,,,,,
Vietnam,Heart Problem,2023,"100,352,192","39,900,000",12.4%,"4,947,600",1.05 b,48%,0.58,1: 1.08,240000,,,4.8%,,,,,,,
Vietnam,Heart Problem,2024,"100,987,686","40,980,000",12.8%,"5,245,440",1.10 b,45%,0.57,1 : 1.22,280000,,,4.8%,,,,,,,
Vietnam,Hypertension,2022,"99,680,655","38,800,000",44.8%,"17,382,400",0,51.6%,23.1,1.07 : 1,0,,,,Macrotrends; Nature Article; ScienceDirect Article,,,,,,
Vietnam,Hypertension,2023,"100,352,192","39,900,000",44.8%,"17,875,200",0,51.6%,23.1,1.07 : 1,450000,,,,Macrotrends; Nature Article; ScienceDirect Article,,,,,,
Vietnam,Hypertension,2024,"100,987,686","40,980,000",44.8%,"18,359,040",0,51.6%,23.1,1.07 : 1,450000,,,,Macrotrends; Nature Article; ScienceDirect Article,,,,,,
Vietnam,Stroke,2022,"99,680,655","38,800,000",0.4%,"161,020",1.2 B,40%,0.17,2 : 3,4150,,0.1 B,8.3%,,,,,,,
Vietnam,Stroke,2023,"100,352,192","39,900,000",0.4%,"165,585",1.3 B,40%,0.17,2 : 3,4150,,0.1 B,7.7%,,,,,,,
Vietnam,Stroke,2024,"100,987,686","40,980,000",0.4%,"170,067",1.4 B,40%,0.17,2 : 3,4150,,0.1 B,7.1%,,,,,,,